,City1_State,City1,City2_State,City2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num
868,Queensland,BRISBANE,Northern Territory,DARWIN,31291,3056,26,74.5,2852,8715712.0,11698942.0,4102,1985,9
869,Queensland,BRISBANE,Queensland,MACKAY,31291,905,20,61.7,797,721285.0,1169019.0,1467,1985,9
870,Queensland,BRISBANE,Victoria,MELBOURNE,31291,38953,387,82,1381,53794093.0,65602552.0,47504,1985,9
871,Queensland,BRISBANE,Western Australia,PERTH,31291,398,4,69.1,3615,1438770.0,2082156.0,576,1985,9
872,Queensland,BRISBANE,Western Australia,PROSERPINE,31291,7255,88,77.6,895,6493225.0,8367558.0,9349,1985,9
873,Queensland,BRISBANE,Queensland,ROCKHAMPTON,31291,24578,303,82.9,518,12731404.0,15357544.0,29648,1985,9
874,Queensland,BRISBANE,New South Wales,SYDNEY,31291,109502,1011,75,753,82455006.0,109940008.0,146003,1985,9
875,Queensland,BRISBANE,Queensland,TOWNSVILLE,31291,37691,398,86.8,1112,41912392.0,48286166.0,43423,1985,9
876,Western Australia,BROOME,Western Australia,PERTH,31291,831,15,83.7,1677,1393587.0,1664978.0,993,1985,9
877,Queensland,CAIRNS,Victoria,MELBOURNE,31291,0,1,0,2311,0.0,0.0,0,1985,9
878,Queensland,CAIRNS,New South Wales,SYDNEY,31291,456,6,74.3,1971,898776.0,1209658.0,614,1985,9
879,Queensland,CANBERRA,Victoria,MELBOURNE,31291,30388,425,61.7,470,14282360.0,23148071.0,49251,1985,9
880,Queensland,CANBERRA,New South Wales,SYDNEY,31291,51020,952,62.1,236,12040720.0,19389243.0,82158,1985,9
881,New South Wales,COFFS HARBOUR,New South Wales,SYDNEY,31291,6045,166,71.4,443,2677935.0,3750609.0,8466,1985,9
882,Northern Territory,DARWIN,New South Wales,SYDNEY,31291,156,1,108.3,3155,492180.0,454460.0,144,1985,9
883,Tasmania,DEVONPORT,Victoria,MELBOURNE,31291,13258,376,75.4,412,5462296.0,7244424.0,17584,1985,9
884,New South Wales,DUBBO,New South Wales,SYDNEY,31291,5871,155,72.7,310,1820010.0,2503453.0,8076,1985,9
885,New South Wales,GOLD COAST,New South Wales,SYDNEY,31291,42461,494,78.2,680,28873480.0,36922609.0,54298,1985,9
886,Tasmania,HOBART,Victoria,MELBOURNE,31291,26833,369,70.2,618,16582794.0,23622214.0,38224,1985,9
887,Tasmania,KALGOORLIE,Western Australia,PERTH,31291,7930,249,71.3,538,4266340.0,5983647.0,11122,1985,9
888,Western Australia,KARRATHA,Western Australia,PERTH,31291,11713,235,72.3,1250,14641250.0,20250692.0,16201,1985,9
889,Tasmania,LAUNCESTON,Victoria,MELBOURNE,31291,32201,616,67.9,476,15327676.0,22573897.0,47424,1985,9
890,Victoria,MELBOURNE,Victoria,BURNIE,31291,6938,230,73.9,378,2622564.0,3548801.0,9388,1985,9
891,Victoria,MELBOURNE,Victoria,GOLD COAST,31291,24486,206,81.1,1330,32566380.0,40155832.0,30192,1985,9
892,Victoria,MELBOURNE,Victoria,MILDURA,31291,3928,315,44.7,457,1795096.0,4015875.0,8787,1985,9
893,Victoria,MELBOURNE,Western Australia,PERTH,31291,32797,280,77.3,2706,88748682.0,114810714.0,42428,1985,9
894,Victoria,MELBOURNE,New South Wales,SYDNEY,31291,174945,1595,70.5,706,123511170.0,175193149.0,248149,1985,9
895,Western Australia,PERTH,New South Wales,SYDNEY,31291,18305,152,76.2,3284,60113620.0,78889265.0,24022,1985,9
896,Queensland,SUNSHINE COAST,Victoria,MELBOURNE,31291,1190,26,83.2,1454,1730260.0,2079639.0,1430,1985,9
897,Queensland,SUNSHINE COAST,New South Wales,SYDNEY,31291,6182,127,77.6,837,5174334.0,6667956.0,7966,1985,9
898,New South Wales,SYDNEY,Queensland,TOWNSVILLE,31291,10437,105,86.2,1690,17638530.0,20462332.0,12108,1985,9
899,New South Wales,SYDNEY,New South Wales,WAGGA WAGGA,31291,5472,162,66.7,367,2008224.0,3010831.0,8204,1985,9
900,South Australia,ADELAIDE,Northern Territory,ALICE SPRINGS,31321,13710,125,76.3,1316,18042360.0,23646606.0,17969,1985,10
901,South Australia,ADELAIDE,Queensland,BRISBANE,31321,3462,40,73.1,1622,5615364.0,7681756.0,4736,1985,10
902,South Australia,ADELAIDE,Queensland,CANBERRA,31321,2139,29,68.1,972,2079108.0,3053022.0,3141,1985,10
903,South Australia,ADELAIDE,Northern Territory,DARWIN,31321,1778,18,65.2,2619,4656582.0,7141997.0,2727,1985,10
904,South Australia,ADELAIDE,Northern Territory,GOLD COAST,31321,1231,16,70.7,1607,1978217.0,2798044.0,1741,1985,10
905,South Australia,ADELAIDE,Victoria,MELBOURNE,31321,62675,731,70.4,643,40300025.0,57244354.0,89027,1985,10
906,South Australia,ADELAIDE,Western Australia,PERTH,31321,17486,138,82.9,2120,37070320.0,44716912.0,21093,1985,10
907,South Australia,ADELAIDE,New South Wales,SYDNEY,31321,39015,393,74.6,1167,45530505.0,61032849.0,52299,1985,10
908,South Australia,ALBURY,New South Wales,SYDNEY,31321,14791,364,74.5,452,6685532.0,8973868.0,19854,1985,10
909,Northern Territory,ALICE SPRINGS,Northern Territory,DARWIN,31321,10149,106,66.4,1305,13244445.0,19946453.0,15285,1985,10
910,Northern Territory,ALICE SPRINGS,New South Wales,SYDNEY,31321,5069,54,71,2022,10249518.0,14435941.0,7139,1985,10
911,Queensland,BRISBANE,Queensland,CAIRNS,31321,2671,35,65,1391,3715361.0,5715940.0,4109,1985,10
912,Queensland,BRISBANE,Queensland,CANBERRA,31321,483,9,58.3,956,461748.0,792021.0,828,1985,10
913,Queensland,BRISBANE,Northern Territory,DARWIN,31321,2193,20,72.8,2852,6254436.0,8591258.0,3012,1985,10
914,Queensland,BRISBANE,Queensland,MACKAY,31321,1126,18,73.5,797,897422.0,1220982.0,1532,1985,10
915,Queensland,BRISBANE,Victoria,MELBOURNE,31321,32443,334,81.7,1381,44803783.0,54839392.0,39710,1985,10
916,Queensland,BRISBANE,Western Australia,PERTH,31321,348,4,60.4,3615,1258020.0,2082815.0,576,1985,10
917,Queensland,BRISBANE,Western Australia,PROSERPINE,31321,5340,75,71.4,895,4779300.0,6693697.0,7479,1985,10
918,Queensland,BRISBANE,Queensland,ROCKHAMPTON,31321,23818,310,78.3,518,12337724.0,15756991.0,30419,1985,10
919,Queensland,BRISBANE,New South Wales,SYDNEY,31321,109983,1000,74.2,753,82817199.0,111613476.0,148225,1985,10
920,Queensland,BRISBANE,Queensland,TOWNSVILLE,31321,38013,398,86.6,1112,42270456.0,48811150.0,43895,1985,10
921,Western Australia,BROOME,Western Australia,PERTH,31321,707,11,86.3,1677,1185639.0,1373857.0,819,1985,10
922,Queensland,CAIRNS,New South Wales,SYDNEY,31321,83,1,90.2,1971,163593.0,181367.0,92,1985,10
923,Queensland,CANBERRA,Victoria,MELBOURNE,31321,35889,505,63.9,470,16867830.0,26397230.0,56164,1985,10
924,Queensland,CANBERRA,New South Wales,SYDNEY,31321,53260,1010,60.2,236,12569360.0,20879336.0,88472,1985,10
925,New South Wales,COFFS HARBOUR,New South Wales,SYDNEY,31321,6420,173,72.3,443,2844060.0,3933693.0,8880,1985,10
926,Tasmania,DEVONPORT,Victoria,MELBOURNE,31321,7730,261,63.4,412,3184760.0,5023281.0,12192,1985,10
927,New South Wales,DUBBO,New South Wales,SYDNEY,31321,6383,169,73.8,310,1978730.0,2681206.0,8649,1985,10
928,New South Wales,GOLD COAST,New South Wales,SYDNEY,31321,44092,489,78.7,680,29982560.0,38097281.0,56025,1985,10
929,Tasmania,HOBART,Victoria,MELBOURNE,31321,23861,357,66.5,618,14746098.0,22174583.0,35881,1985,10
930,Tasmania,KALGOORLIE,Western Australia,PERTH,31321,8197,278,71.7,538,4409986.0,6150608.0,11432,1985,10
931,Western Australia,KARRATHA,Western Australia,PERTH,31321,11218,237,67.9,1250,14022500.0,20651694.0,16521,1985,10
932,Tasmania,LAUNCESTON,Victoria,MELBOURNE,31321,30564,628,67.1,476,14548464.0,21681765.0,45550,1985,10
933,Victoria,MELBOURNE,Victoria,BURNIE,31321,4953,172,71.7,378,1872234.0,2611205.0,6908,1985,10
934,Victoria,MELBOURNE,Victoria,GOLD COAST,31321,15231,129,86.5,1330,20257230.0,23418763.0,17608,1985,10
935,Victoria,MELBOURNE,Victoria,MILDURA,31321,4367,323,49.5,457,1995719.0,4031756.0,8822,1985,10
936,Victoria,MELBOURNE,Western Australia,PERTH,31321,27561,309,77.2,2706,74580066.0,96606303.0,35701,1985,10
937,Victoria,MELBOURNE,New South Wales,SYDNEY,31321,184448,1678,69.5,706,130220288.0,187367321.0,265393,1985,10
938,Western Australia,PERTH,New South Wales,SYDNEY,31321,16118,136,79.4,3284,52931512.0,66664373.0,20300,1985,10
939,Queensland,SUNSHINE COAST,Victoria,MELBOURNE,31321,1054,26,73.7,1454,1532516.0,2079398.0,1430,1985,10
940,Queensland,SUNSHINE COAST,New South Wales,SYDNEY,31321,5669,120,74.7,837,4744953.0,6352012.0,7589,1985,10
941,New South Wales,SYDNEY,Queensland,TOWNSVILLE,31321,9078,97,85.4,1690,15341820.0,17964660.0,10630,1985,10
942,New South Wales,SYDNEY,New South Wales,WAGGA WAGGA,31321,5883,171,66.4,367,2159061.0,3251598.0,8860,1985,10
943,South Australia,ADELAIDE,Northern Territory,ALICE SPRINGS,31352,12750,121,72.5,1316,16779000.0,23143448.0,17586,1985,11
944,South Australia,ADELAIDE,Queensland,BRISBANE,31352,3741,47,70,1622,6067902.0,8668431.0,5344,1985,11
945,South Australia,ADELAIDE,Queensland,CANBERRA,31352,2619,34,67.8,972,2545668.0,3754673.0,3863,1985,11
946,South Australia,ADELAIDE,Northern Territory,DARWIN,31352,1348,17,55.1,2619,3530412.0,6407281.0,2446,1985,11
947,South Australia,ADELAIDE,Northern Territory,GOLD COAST,31352,1566,23,59.2,1607,2516562.0,4250949.0,2645,1985,11
948,South Australia,ADELAIDE,Victoria,MELBOURNE,31352,67784,744,70.2,643,43585112.0,62087054.0,96558,1985,11
949,South Australia,ADELAIDE,Western Australia,PERTH,31352,16865,139,79.2,2120,35753800.0,45143687.0,21294,1985,11
950,South Australia,ADELAIDE,New South Wales,SYDNEY,31352,41370,403,72.5,1167,48278790.0,66591434.0,57062,1985,11
951,South Australia,ALBURY,New South Wales,SYDNEY,31352,12973,314,75.8,452,5863796.0,7735879.0,17115,1985,11
952,Northern Territory,ALICE SPRINGS,Northern Territory,DARWIN,31352,8931,103,59.7,1305,11654955.0,19522538.0,14960,1985,11
953,Northern Territory,ALICE SPRINGS,New South Wales,SYDNEY,31352,4677,57,62.8,2022,9456894.0,15058748.0,7447,1985,11
954,Queensland,BRISBANE,Queensland,CAIRNS,31352,745,10,60,1391,1036295.0,1727158.0,1242,1985,11
955,Queensland,BRISBANE,Queensland,CANBERRA,31352,377,8,51.2,956,360412.0,703930.0,736,1985,11
956,Queensland,BRISBANE,Northern Territory,DARWIN,31352,1820,21,60.2,2852,5190640.0,8622326.0,3023,1985,11
957,Queensland,BRISBANE,Queensland,MACKAY,31352,2177,33,71.8,797,1735069.0,2416531.0,3032,1985,11
958,Queensland,BRISBANE,Victoria,MELBOURNE,31352,30210,334,77,1381,41720010.0,54181831.0,39234,1985,11
959,Queensland,BRISBANE,Western Australia,PERTH,31352,511,5,71,3615,1847265.0,2601782.0,720,1985,11
